Total no. of words replaced from the find-list: 703

               SL NO        ORIGINAL WORD         REPLACE WORD    REPLACE COUNT 

                   1              version              version               222 
                   2              wounded               blessa                34 
                   3           afterwards                 puis                36 
                   4                bound              entrain               162 
                   5               charge            chargeons               181 
                   6               custom            moralité                39 
                   7             merchant           commergant                58 
                   8               priest              prétre                61 
                   9               praise            glorifier               173 
                  10                breed                 race                48 
                  11                court              briguez               208 
                  12               dinner                diner                69 
                  13                there                   1A              1643 
                  14                whose               de qui               613 
                  15                truth              verité               294 
                  16              entreat         réquisition               107 
                  17               answer             réponse               362 
                  18                avoid             évitons                33 
                  19               battle             bataille                98 
                  20              prepare         prédisposer                62 
                  21              without           dénué de               360 
                  22              brother        frre. frangin               490 
                  23               throat                gorge                47 
                  24             innocent             innocent                50 
                  25               misery               misere                32 
                  26                bring               amener               442 
                  27                whore               putain                30 
                  28              content            satisfait               141 
                  29                youth             jeunesse               249 
                  30                these             celui 1A              1298 
                  31               damned                damna                44 
                  32               suffer         souffrissons                80 
                  33             personal            personnel               234 
                  34                finds               trouve                42 
                  35                offer             proposer                82 
                  36              because                  car               187 
                  37                scorn            mépriser                89 
                  38               honest             honnéte               270 
                  39              warrant             garantir               170 
                  40              company   maison de commerce               167 
                  41                quiet             paisible                69 
                  42               policy            politique                41 
                  43               prison         pénitencier                75 
                  44               search              fouille                41 
                  45                fairy                   fc                57 
                  46             discover          dépouiller                35 
                  47                learn             apprends                87 
                  48                proud                 fier               188 
                  49            reverence          tévérence                36 
                  50            excellent               exquis               108 
                  51              strange             ¢trange               226 
                  52              weeping             pleurant                49 
                  53                right                droit               310 
                  54                feast          délibéré                94 
                  55                march              marcher               107 
                  56                under           18 dessous               288 
                  57               taught           enseignée                49 
                  58               endure            supporter                75 
                  59               desert            désertez                40 
                  60                frame            échafaud                43 
                  61               object                objet                38 
                  62               undone             défaits                43 
                  63                purse              sacoche                60 
                  64                abuse              défaut                44 
                  65             dispatch            expédier                64 
                  66               humble               humble                61 
                  67                yours                  son               218 
                  68               beauty              beauté               187 
                  69               strong             salement               175 
                  70                quick              nerveux                97 
                  71               forest            forestier                68 
                  72                prove           éprouvent               247 
